GERMAN,ENGLISH
anteil ,portion 
stets ,always 
ritter ,knight 
viertel ,quarter 
roman ,novel 
pünktlich ,on time 
erfüllen ,fulfill 
kauft ,buys 
molly ,molly 
basis ,base 
eva ,eva 
schock ,shock 
empfang ,reception 
wiederhole ,repeat 
wünscht ,wishes 
besondere ,special 
titel ,title 
stil ,style 
fingerabdrücke ,fingerprints 
einfluss ,influence 
anweisungen ,instructions 
zahle ,pay 
opfern ,sacrifice 
blaue ,blueness 
sparen ,save 
weiteres ,further 
gehörst ,belong 
farm ,farm 
erstaunlich ,astonishing 
schwachsinn ,nonsense 
miete ,rent 
verwandelt ,transformed 
daneben ,next to it 
klaus ,Klaus 
bereiten ,prepare 
wüste ,desert 
prüfen ,check 
gabe ,gabe 
hundert ,hundred 
erscheinen ,appear 
laß ,let 
besiegen ,defeat 
verpiss ,fuck off 
umständen ,circumstances 
angelegenheit ,matter 
landes ,country 
dienstag ,Tuesday 
folgendes ,the following 
fürchten ,fear 
mordes ,murder 
nennst ,call 
angestellt ,employed 
training ,training 
aufgetaucht ,appeared 
rausfinden ,find out 
ächzt ,groans 
rauskommen ,come out 
planet ,planet 
suppe ,soup 
erwischen ,catch 
sitz ,seat 
johnson ,johnson 
vorteil ,advantage 
for ,for 
rosa ,pink 
tour ,tour 
amerikanische ,American 
schönste ,most beautiful 
rufst ,you call 
berührt ,touched 
französisch ,French 
gouverneur ,governor 
angeles ,angeles 
kaufe ,buy 
stern ,star 
gedächtnis ,memory 
wirklichkeit ,reality 
bestraft ,punished 
kreis ,circle 
reine ,pure 
edward ,Edward 
schlimmes ,bad 
bestehen ,consist 
jeannie ,Jeannie 
erscheint ,appears 
staatsanwalt ,prosecutor 
ewigkeit ,eternity 
störung ,disturbance 
hässlich ,ugly 
lauft ,running 
angezogen ,dressed 
señor ,senor 
half ,helped 
sollt ,should 
martha ,martha 
tiger ,tiger 
zigarette ,cigarette 
mutig ,brave 
ausruhen ,relax 
andrew ,andrew 
linken ,left 
hauptmann ,captain 
umstände ,circumstances 
not ,not 
unglück ,accident 
eng ,closely 
white ,white 
lucas ,Lucas 
üben ,practice 
wissenschaftler ,scientist 
gelöst ,solved 
reaktion ,reaction 
morde ,murders 
dusche ,shower 
mitarbeiter ,employees 
your ,yours 
bedroht ,threatened 
gehöre ,belong 
befreit ,freed 
stöhnen ,moan 
reagiert ,Reacts 
identität ,identity 
rund ,around 
texas ,Texas 
fieber ,fever 
hirn ,brain 
leiten ,lead 
donnerstag ,Thursday 
leonard ,leonard 
unheimlich ,scary 
mulder ,mulder 
jahrhundert ,century 
irgend ,any 
diener ,servant 
bruce ,Bruce 
extrem ,extreme 
ausweis ,ID 
sicht ,view 
sport ,sport 
juden ,Jews 
studiert ,studied 
angelogen ,lied to 
schaue ,look 
little ,little 
sally ,Sally 
text ,text 
earl ,earl 
nebenan ,next door 
todd ,Todd 
lektion ,lesson 
staub ,dust 
sophie ,Sophie 
kugeln ,balls 
dutzend ,dozen 
ratte ,rat 
mitleid ,pity 
testen ,test 
auftritt ,occurs 
gegner ,opponent 
joseph ,Joseph 
verdienst ,merit 
langsamer ,slower 
wunde ,wound 
linie ,line 
bedrohung ,threat 
bauer ,farmer 
kurzem ,recently 
fische ,fish 
einkaufen ,shopping 
kreuz ,cross 
afrika ,Africa 
begangen ,committed 
el ,el 
nachsehen ,look 
junior ,junior 
bäume ,trees 
leidenschaft ,passion 
geliebte ,beloved 
bereuen ,regret 
spieler ,player 
berge ,mountains 
verwendet ,used 
steuern ,steer 
gekümmert ,cared for 
voran ,ahead 
wieviel ,how much 
barney ,barney 
graf ,count 
verabredung ,appointment 
verlasse ,leave 
überfallen ,ambushed 
donna ,donna 
umdrehen ,turn around 
damon ,demon 
kilo ,kilo 
diego ,Diego 
negativ ,negative 
schild ,sign 
tanzt ,dances 
verbrennen ,burn 
gefreut ,pleased 
penner ,bum 
blauen ,blue 
jay ,Jay 
stücke ,pieces 
angela ,Angela 
kühlschrank ,refrigerator 
identifizieren ,identify 
lehrerin ,teacher 
francisco ,francisco 
kameras ,cameras 
zentrale ,central 
jäger ,hunter 
josh ,Josh 
wayne ,Wayne 
wenden ,turn around 
we ,we 
holst ,fetch 
suchte ,searched 
start ,start 
füßen ,feet 
unglücklich ,unhappy 
frohe ,happy 
sand ,sand 
pfarrer ,priest 
plus ,plus 
nancy ,nancy 
brachten ,brought 
zauber ,magic 
berühren ,touch 
rückkehr ,return 
hafen ,harbor 
indianer ,Indian 
miller ,miller 
verschwenden ,waste 
untersucht ,examined 
königs ,royal 
jean ,jean 
lese ,read 
stahl ,steel 
hättet ,would have 
affen ,monkeys 
worten ,words 
kindheit ,childhood 
gewollt ,wanted 
op ,op 
vermeiden ,avoid 
fabrik ,factory 
aussagen ,testify 
wunderbare ,wonderful 
grandpa ,grandpa 
miststück ,bitch 
verrückter ,crazy 
lane ,lane 
jungfrau ,Virgo 
einfache ,simple 
nate ,nate 
laufe ,run 
reingelegt ,tricked 
seltsame ,strange 
heiratet ,marries 
angenehm ,pleasant 
daheim ,home 
planen ,plan 
klauen ,to steal 
geruch ,odor 
marty ,marty 
klingen ,sound 
tina ,tina 
nächster ,next 
hörten ,heard 
jackie ,Jackie 
trafen ,met 
ungern ,reluctantly 
abgelehnt ,rejected 
erstens ,first 
abmachung ,agreement 
appetit ,appetite 
miami ,Miami 
zeigte ,showed 
fan ,fan 
hohen ,high 
alf ,alf 
ladys ,ladies 
sms ,sms 
verkauf ,sale 
jamie ,Jamie 
verbergen ,hide 
sorgt ,ensures 
karl ,Karl 
sohnes ,son 
berühmt ,famous 
aussteigen ,exit 
bonnie ,Bonnie 
ginge ,would go 
reingehen ,go in 
durfte ,was allowed 
korrektur ,correction 
wirft ,throws 
titten ,tits 
betreten ,enter 
todes ,death 
one ,one 
doctor ,doctor 
blöden ,stupid 
miles ,miles 
rausholen ,get out 
hohe ,height 
aufnahme ,recording 
by ,by 
holmes ,holmes 
hübscher ,prettier 
vegas ,Vegas 
manager ,manager 
stellung ,position 
höhle ,cave 
schokolade ,chocolate 
angeboten ,offered 
weib ,woman 
ausgerechnet ,of all things 
walker ,walker 
beibringen ,teach 
nelson ,nelson 
ex ,ex 
belohnung ,reward 
seelen ,souls 
steine ,stones 
garage ,garage 
scheißkerl ,shithead 
gestört ,disturbed 
cooper ,cooper 
ruhen ,rest 
pillen ,pills 
gepäck ,baggage 
carol ,carol 
norman ,Norman 
zoe ,zoe 
amerikanischen ,American 
telefonieren ,make a phone call 
heirate ,marry 
erkenne ,recognize 
funk ,radio 
grüß ,greetings 
hurensohn ,son of a bitch 
mögliche ,possible 
spring ,jump 
uni ,uni 
scheinbar ,apparently 
fakten ,facts 
informieren ,inform 
jugend ,youth 
feier ,celebration 
wenigen ,few 
söhne ,sons 
benzin ,petrol 
nix ,nothing 
vampire ,vampires 
erkennt ,recognizes 
sicherer ,safer 
zigaretten ,cigarettes 
dummes ,stupid 
mauer ,wall 
erneut ,anew 
flügel ,wing 
schluck ,gulp 
hierbleiben ,stay here 
christus ,Christ 
bezahle ,pay 
dummkopf ,stupid 
gerüchte ,rumors 
eingestellt ,set 
m. ,m. 
weitergehen ,move on 
technik ,technology 
ali ,ali 
bezweifle ,doubt 
piper ,piper 
over ,over 
gekostet ,cost 
anzeige ,advertisement 
wohnst ,live 
hans ,Hans 
ergebnis ,result 
bedingungen ,conditions 
brad ,brad 
aufzuhalten ,to stop 
versprich ,promise 
verdiene ,deserve 
geschnappt ,caught 
francis ,francis 
eile ,hurry 
innen ,inside 
italien ,Italy 
einig ,agree 
verhandeln ,negotiate 
weswegen ,why 
nützlich ,useful 
inneren ,inner 
gentleman ,gentleman 
felix ,felix 
vergesse ,forget 
dunkle ,dark 
warnung ,warning 
gemeinde ,community 
diamanten ,diamonds 
wächst ,grows 
gewöhnlich ,usually 
seil ,rope 
bär ,bear 
großartige ,great 
beth ,Beth 
ware ,goods 
traurige ,sad ones 
figur ,figure 
time ,time 
roboter ,robot 
anschauen ,look at 
kürzlich ,recently 
material ,material 
paula ,paula 
käme ,would come 
stellst ,put 
bereitet ,prepared 
einfallen ,come up 
käfig ,cage 
fantasie ,fantasy 
brach ,broke 
satz ,sentence 
kommissar ,commissioner 
exzellenz ,excellence 
schuldest ,you owe 
nass ,wet 
rächen ,revenge 
womöglich ,possibly 
begrüßen ,greet 
lou ,Lou 
davis ,Davis 
überraschen ,surprise 
menschlichen ,human 
repariert ,repaired 
führung ,guide 
gestanden ,confessed 
jacob ,Jacob 
schütze ,protect 
störe ,disturb 
nina ,nina 
jobs ,jobs 
maschinen ,machines 
unterlagen ,documents 
palast ,palace 
graben ,dig 
kette ,chain 
auftauchen ,turn up 
interessante ,interesting 
wovor ,from what 
springt ,jumps 
terroristen ,terrorists 
stan ,stan 
bekämpfen ,fight 
lärm ,noise 
flehe ,beg 
aufgewachsen ,grew up 
arbeiter ,worker 
größere ,larger 
humor ,humor 
betrachten ,regard 
be ,be 
organisation ,organization 
widerstand ,resistance 
bergen ,recover 
studio ,studio 
hausaufgaben ,homework 
vögeln ,fuck 
bescheuert ,stupid 
weggehen ,go away 
teller ,plate 
original ,original 
revolution ,revolution 
hitler ,Hitler 
mädel ,girl 
verbinden ,connect 
nathan ,Nathan 
ermittlungen ,investigations 
steck ,plug 
wäsche ,wash 
rätsel ,puzzle 
besonderen ,special 
hunderte ,hundreds 
versetzt ,offset 
bibel ,Bible 
heiliger ,holier 
reiß ,tear 
kopie ,copy 
besitzen ,own 
zeitungen ,newspapers 
zurückgekommen ,came back 
süßes ,sweet 
barbara ,barbara 
ungewöhnlich ,unusual 
höhe ,height 
geschaffen ,created 
beschreiben ,describe 
ausgesucht ,selected 
notwendig ,necessary 
dunklen ,dark 
ignorieren ,ignore 
toter ,dead 
deck ,deck 
narr ,fool 
scheißegal ,don't give a fuck 
höchstens ,at most 
übersehen ,overlook 
geirrt ,mistaken 
darunter ,underneath 
außen ,outside 
einzig ,only 
stirbst ,die 
lhren ,yours 
spielchen ,games 
girl ,girl 
fahrrad ,bicycle 
nutte ,hooker 
wilde ,wild ones 
jordan ,Jordan 
bequem ,comfortable 
rauch ,smoke 
verschiedenen ,different 
kamst ,came 
l ,l 
betty ,Betty 
pool ,pool 
hubschrauber ,helicopter 
wüssten ,would know 
erstmal ,first of all 
kollege ,colleague 
vernichtet ,destroyed 
gesichter ,faces 
derselbe ,same 
hattet ,had 
konto ,account 
freie ,free 
casey ,casey 
haken ,hook 
munition ,ammunition 
sünde ,sin 
militär ,military 
gefasst ,caught 
anzeichen ,signs 
geklappt ,succeeded 
hintergrund ,background 
erwähnen ,mention 
tipp ,tip 
reißen ,tear 
keins ,none 
genial ,brilliant 
berichte ,reports 
kram ,junk 
schnapp ,snap 
solle ,should 
randy ,randy 
umziehen ,move 
zunächst ,first 
keinerlei ,none whatsoever 
typisch ,typical 
bietet ,offers 
leb ,live 
technologie ,technology 
john-boy ,john boy 
ruinieren ,ruin 
jünger ,younger 
poirot ,Poirot 
umso ,all the more 
starben ,died 
rette ,save 
triffst ,meet 
unhöflich ,impolite 
safe ,safe 
anzurufen ,to call 
universität ,university 
mai ,May 
heben ,lift 
koch ,cook 
derselben ,the same 
katastrophe ,disaster 
male ,paint 
olivia ,Olivia 
prüfung ,test 
brown ,brown 
gesetze ,laws 
meeting ,meeting 
versicherung ,insurance 
getragen ,worn 
ehefrau ,wife 
mitmachen ,join in 
tauschen ,to exchange 
ergebnisse ,results 
boston ,Boston 
reg ,reg 
einstellen ,set 
reagieren ,react 
gefehlt ,missing 
verwandeln ,transform 
gedauert ,lasted 
senden ,send 
blair ,blair 
reporter ,reporter 
abgeben ,hand over 
mm ,mm 
parker ,parker 
anhören ,listen 
bibliothek ,library 
japan ,Japan 
hinsetzen ,sit down 
hannah ,Hannah 
serena ,Serena 
paige ,paige 
schalten ,switch 
derek ,Derek 
gewöhnen ,get used to 
lernte ,learned 
vereinigten ,united 
gewicht ,weight 
zweiter ,second 
badezimmer ,bathroom 
schieben ,push 
dreimal ,three times 
weich ,soft 
echtes ,real 
zweitens ,secondly 
drachen ,dragon 
bahnhof ,railroad station 
erschöpft ,exhausted 
genauer ,more precise 
verlange ,demand 
spanisch ,Spanish 
verrat ,betrayal 
hexen ,witches 
live ,live 
legende ,legend 
taub ,deaf 
freu ,happy 
konzert ,concert 
hopp ,oops 
wiederzusehen ,to see again 
doppelt ,double 
last ,load 
vergleich ,comparison 
böser ,more evil 
herzlich ,heartfelt 
monica ,Monica 
taschen ,bags 
genügt ,is enough 
besucher ,visitors 
spanien ,Spain 
großzügig ,generous 
teddy ,teddy 
hauses ,house 
leihen ,lend 
scheiden ,divorce 
einstellung ,attitude 
köstlich ,delicious 
watson ,Watson 
einheiten ,units 
wichtigen ,important 
go ,go 
warne ,warn 
russland ,Russia 
angeschossen ,shot 
sammy ,Sammy 
pierre ,pierre 
sklaven ,slaves 
laune ,mood 
gesamten ,entire 
stille ,silence 
asche ,ash 
geflogen ,flown 
spion ,spy 
what ,what 
aaron ,Aaron 
weihnachtsmann ,Santa Claus 
hervorragend ,terrific 
can ,can 
verärgert ,annoyed 
puppe ,doll 
überfall ,raid 
unwichtig ,unimportant 
santa ,santa 
linke ,left 
übung ,exercise 
buffy ,buffy 
franzosen ,French 
wehgetan ,hurt 
schwäche ,weakness 
couch ,couch 
cousine ,cousin 
grant ,grant 
atme ,breathe 
irgendeinem ,anyone 
unterstützt ,supports 
oscar ,oscar 
ausdruck ,expression 
pleite ,broke 
beleidigt ,insulted 
knopf ,button 
stop ,Stop 
schlimme ,bad ones 
beweist ,proves 
katie ,katie 
dramatische ,dramatic 
heutigen ,today 
leere ,empty 
island ,Iceland 
shane ,Shane 
daisy ,daisy 
trinkst ,drink 
heimlich ,secretly 
eingehen ,enter 
rad ,wheel 
greift ,takes hold 
mächtig ,powerful 
williams ,williams 
sinnlos ,pointless 
versaut ,messed up 
atem ,breath 
anstellen ,hire 
milliarden ,billion 
flotte ,fleet 
umgebung ,vicinity 
mitbringen ,bring along 
beteiligt ,involved 
dunkeln ,darken 
entwickeln ,develop 
schämen ,ashamed 
erwachsene ,adult 
zack ,boom 
durchsuchen ,browse 
hollywood ,Hollywood 
rollen ,roll 
vergesst ,forget 
tricks ,tricks 
plätze ,places 
gefangene ,prisoners 
sünden ,sins 
sender ,transmitter 
verlass ,leave 
räumen ,clear 
lerne ,learn 
rettet ,saves 
hinweise ,notes 
ausreden ,excuses 
alexander ,Alexander 
mommy ,mommy 
diejenige ,the one 
nächte ,nights 
herrscht ,prevails 
bud ,bud 
jahres ,year 
dna ,dna 
romantisch ,romantic 
flüstert ,whispers 
drück ,press 
jeremy ,jeremy 
bedanken ,thank you 
verabredet ,have an appointment 
pilot ,pilot 
colt ,colt 
nigger ,nigger 
reizend ,lovely 
grade ,straight 
stanley ,stanley 
leib ,body 
stecke ,stuck 
scheisse ,shit 
ärztin ,doctor 
vergewaltigt ,raped 
mußt ,must 
lieferung ,delivery 
botschafter ,ambassador 
studieren ,study 
köpfe ,heads 
duschen ,shower 
kopfschmerzen ,headache 
öl ,oil 
knarre ,creak 
sekretärin ,secretary 
phase ,phase 
handschellen ,handcuffs 
lewis ,Lewis 
versehen ,provided 
bande ,band 
treu ,faithful 
positiv ,positive 
meiste ,most 
museum ,museum 
albtraum ,nightmare 
margaret ,Margaret 
verlobt ,engaged 
besiegt ,defeated 
existieren ,exist 
könne ,could 
proben ,rehearse 
beschissen ,crappy 
gewinne ,win 
personal ,staff 
christian ,Christian 
bewaffnet ,armed 
fällen ,fall 
wecken ,wake up 
wirkung ,effect 
kurt ,Kurt 
connor ,Connor 
rebecca ,Rebecca 
therapie ,therapy 
amüsieren ,amuse 
ordentlich ,orderly 
weglaufen ,run away 
aufgewacht ,woke up 
nähern ,approach 
decken ,cover 
sinne ,senses 
leutnant ,lieutenant 
zauberer ,wizard 
hogan ,Hogan 
bittet ,asks 
ankunft ,arrival 
klopft ,knocks 
abstand ,distance 
bewusstsein ,consciousness 
nation ,nation 
kontrolliert ,controlled 
treffer ,hit 
abnehmen ,lose weight 
ratten ,rats 
anwälte ,lawyers 
tempel ,temple 
vergiftet ,poisoned 
kunde ,customer 
august ,August 
wunden ,wounds 
unangenehm ,unpleasant 
ausrüstung ,equipment 
segen ,blessing 
präsentiert ,presented 
schließ ,close 
kehle ,throat 
krone ,crown 
durchsucht ,searched 
president ,president 
tracy ,Tracy 
verfluchte ,cursed 
bestimmten ,certain 
clay ,clay 
ladies ,ladies 
b. ,b. 
ladung ,charge 
beinen ,legs 
hell ,bright 
kent ,kent 
kapitel ,chapter 
chase ,chase 
benutze ,use 
alibi ,alibi 
ziele ,goals 
bestie ,beast 
gus ,gus 
nirgends ,nowhere 
wohnzimmer ,living room 
beute ,prey 
bau ,building 
brennen ,burn 
lex ,lex 
durst ,thirst 
logan ,logan 
schwarzer ,black 
schmutzig ,dirty 
liebhaber ,lover 
ersetzen ,substitute 
juli ,July 
verfahren ,procedure 
kirk ,Kirk 
stiefel ,boots 
inspector ,inspector 
allzu ,too 
camp ,camp 
dürft ,may 
orten ,places 
hitze ,heat 
spielzeug ,toy 
tv ,tv 
gloria ,gloria 
wolle ,wool 
knurrt ,growls 
meldet ,reports 
rita ,rita 
zone ,Zone 
trocken ,dry 
lincoln ,lincoln 
schreibst ,write 
audrey ,Audrey 
quinn ,quinn 
probier ,try 
le ,le 
kids ,kids 
unterschrieben ,signed 
do ,do 
heulen ,cry 
entschlossen ,determined 
paket ,package 
gefiel ,liked 
bekamen ,got 
netten ,nice ones 
geheime ,secret 
jennifer ,jennifer 
aktiviert ,activated 
ausweg ,way out 
hinweg ,away 
schmuck ,jewelry 
ausgang ,exit 
wunderschöne ,beautiful 
zurückkommt ,comes back 
ann ,ann 
illegal ,illegal 
ferien ,holidays 
persönlichen ,personal 
geiseln ,hostages 
segne ,bless 
normaler ,more normal 
steuer ,tax 
aufgepasst ,watch out 
murphy ,murphy 
raumschiff ,spaceship 
dummen ,stupid 
weißer ,whiter 
ausbildung ,education 
klavier ,piano 
hauptsache ,main thing 
admiral ,admiral 
entgegen ,in contrast to 
fasse ,grasp 
strecke ,route 
julian ,Julian 
version ,version 
hilfreich ,helpful 
schweren ,heavy 
h ,h 
jahrelang ,for years 
leeren ,empty 
küste ,coast 
baron ,baron 
behörden ,authorities 
grüße ,greetings 
geklärt ,clarified 
bruders ,brother 
kaufte ,bought 
stone ,stone 
puls ,pulse 
blue ,blue 
flur ,corridor 
denselben ,the same 
rettung ,rescue 
widerlich ,disgusting 
parkplatz ,parking 
katzen ,cats 
laster ,vice 
sozusagen ,so to speak 
mittwoch ,Wednesday 
unschuldige ,innocent ones 
abwarten ,wait 
grandma ,grandma 
florida ,Florida 
re ,re 
grünen ,greens 
könntet ,could 
aufnahmen ,recordings 
vision ,vision 
schauspielerin ,actress 
passe ,pass 
sing ,sing 
glückliche ,happy ones 
highschool ,high school 
friedhof ,cemetery 
irrtum ,error 
klienten ,clients 
nervt ,annoying 
leidet ,suffers 
reverend ,reverend 
trainieren ,train 
gegenwart ,present 
zurückbringen ,bring back 
herman ,herman 
protokoll ,protocol 
studenten ,students 
durchaus ,absolutely 
grausam ,awful 
höchste ,highest 
verwickelt ,involved 
schmecken ,taste good 
klappen ,succeed 
apropos ,speaking of 
liz ,liz 
alfred ,Alfred 
ansonsten ,otherwise 
wade ,calf 
missverständnis ,misunderstanding 
mitglieder ,members 
motorrad ,motorcycle 
mickey ,mickey 
blicken ,look 
glücklicher ,happier 
hübschen ,pretty 
dicke ,thickness 
gewünscht ,desired 
gejagt ,hunted 
diejenigen ,those 
diskutieren ,discuss 
pinkeln ,pee 
huhn ,chicken 
erheben ,raise 
paradies ,paradise 
tagebuch ,diary 
möglichen ,possible 
jenseits ,beyond 
arschlöcher ,assholes 
apartment ,apartment 
mason ,mason 
pfeift ,whistles 
dieselben ,the same 
wilden ,wild 
vergaß ,forgot 
enttäuschen ,disappoint 
greg ,greg 
konsequenzen ,consequences 
fleck ,spot 
macgyver ,macgyver 
führerschein ,driver's license 
online ,on-line 
bete ,pray 
verdächtige ,suspects 
enkel ,grandson 
normalen ,normal 
stift ,pen 
interview ,interview 
süßen ,sweeten 
riesige ,huge 
aussicht ,outlook 
ned ,ned 
wiederkommen ,come back 
werbung ,advertising 
warf ,threw 
telefoniert ,telephoned 
anblick ,sight 
einzelnen ,individual 
teppich ,carpet 
hielten ,held 
handel ,trade 
gekannt ,known 
getrieben ,driven 
trainer ,trainer 
scully ,scully 
schuh ,shoe 
bomben ,bombs 
kämpfer ,fighter 
victoria ,victoria 
bedenken ,consider 
sitzung ,meeting 
ken ,ken 
sicheren ,safe 
verkaufe ,sell 
ron ,ron 
tapfer ,brave 
experiment ,experiment 
besorge ,get 
tiefe ,depth 
narren ,fool 
abgeholt ,picked up 
abhalten ,hold off 
bestimmte ,particular 
laufenden ,ongoing 
auftaucht ,appears 
school ,school 
löschen ,delete 
tara ,tara 
sebastian ,Sebastian 
mies ,lousy 
sarg ,coffin 
r ,r 
vertragen ,tolerated 
gebissen ,bitten 
geheimen ,secret 
drinks ,drinks 
tradition ,tradition 
soeben ,just 
komische ,funny ones 
schultz ,Schultz 
aufgehalten ,stopped 
fähigkeit ,capability 
attraktiv ,attractive 
begriff ,expression 
versichere ,insure 
schilde ,shields 
legte ,laid 
mitteilen ,communicate 
sdh ,sdh 
gemütlich ,cozy 
muster ,pattern 
versprach ,promised 
überwachen ,monitor 
eingeschlafen ,fell asleep 
schlimmsten ,worst 
verlierst ,lose 
einzelne ,individual 
vergib ,forgive 
vorbeikommen ,come over 
aua ,ouch 
brüste ,breasts 
sandwich ,sandwich 
gewinner ,winner 
verständnis ,understanding 
g ,G 
raymond ,Raymond 
papst ,pope 
toast ,toast 
matthew ,Matthew 
einsteigen ,get in 
löwen ,lions 
einsetzen ,insert 
gewinn ,profit 
schüchtern ,shy 
scheinst ,seem 
pflanzen ,plant 
green ,green 
sheldon ,Sheldon 
christopher ,christopher 
hätt ,would have 
coach ,coach 
werte ,values 
modell ,model 
übernimmt ,takes over 
walton ,walton 
heftig ,violent 
vorfall ,incident 
motel ,motel 
teams ,teams 
irgendeinen ,anyone 
müsstest ,would have to 
freier ,freer 
zirkus ,circus 
ruhm ,fame 
zurzeit ,currently 
ausmachen ,turn off 
rezept ,recipe 
töchter ,daughters 
laute ,loud 
akzeptiert ,accepted 
geschwindigkeit ,speed 
beliebt ,popular 
verpflichtet ,obligated 
betrüger ,cheater 
lohnt ,worth it 
märchen ,fairy tale 
blöder ,stupider 
becky ,Becky 
wille ,will 
königreich ,kingdom 
dennis ,Dennis 
kehren ,sweep 
baut ,builds 
chinesen ,Chinese 
gesichert ,secured 
michel ,michel 
ruth ,Ruth 
block ,block 
belogen ,lied to 
malen ,paint 
kofferraum ,trunk 
road ,road 
bursche ,fellow 
erin ,erin 
geständnis ,confession 
ausgegangen ,went out 
begreifen ,understand 
dana ,Dana 
blitz ,flash 
löst ,solves 
furcht ,fear 
jersey ,jersey 
ernstes ,serious 
verteilt ,distributed 
bezüglich ,with reference to 
faszinierend ,fascinating 
aufmerksam ,attentive 
aufregung ,excitement 
wendy ,wendy 
ethan ,ethan 
orte ,places 
entführung ,kidnapping 
keucht ,gasps 
erhielt ,received 
treue ,loyalty 
felsen ,rock 
malcolm ,Malcolm 
kurzen ,short 
zorn ,anger 
taucht ,dives 
bestimmen ,determine 
ausgesetzt ,exposed 
zurückgeben ,return 
verkehr ,traffic 
bewiesen ,proven 
generation ,generation 
liebste ,favorite 
ausrichten ,align 
ausnahme ,exception 
ebene ,level 
herrlich ,splendid 
stürzen ,fall 
herausforderung ,challenge 
gefälligst ,if you please 
farben ,colors 
geliebten ,loved ones 
ankommen ,arrive 
tempo ,tempo 
unterbrechen ,interrupt 
kindes ,child 
babe ,babe 
erden ,earth 
schrecklichen ,terrible 
falsches ,wrong 
täuschen ,deceive 
tal ,valley 
irgendwer ,anyone 
deins ,yours 
witwe ,widow 
sichern ,secure 
gerede ,talk 
betrug ,fraud 
trauer ,grief 
anwesenheit ,presence 
bilden ,form 
gewachsen ,grown 
ausflug ,side trip 
jill ,jill 
verlaufen ,get lost 
rand ,edge 
kenny ,Kenny 
rechnen ,calculate 
aufzug ,elevator 
befragen ,question 
wegnehmen ,take away 
abschied ,farewell 
benötigen ,need 
pst ,psst 
amt ,government office 
reiche ,rich 
otto ,otto 
beginn ,start 
daumen ,thumb 
bestrafen ,punish 
clarence ,clarence 
weine ,cry 
fremder ,stranger 
sachte ,gently 
identifiziert ,identified 
gestehen ,confess 
mac ,mac 
owen ,owen 
morris ,morris 
riesig ,gigantic 
entscheide ,decide 
koma ,coma 
prinzen ,princes 
bewusstlos ,unconscious 
county ,county 
marke ,brand 
harter ,harder 
hill ,hill 
höflich ,polite 
jude ,Jew 
setzte ,sat 
besorg ,worry 
absichtlich ,intentionally 
vermasselt ,screwed up 
verschlossen ,closed 
sowie ,as well as  
gesang ,singing 
gedreht ,rotated 
ford ,ford 
religion ,religion 
ey ,hey 
unterschrift ,signature 
rosen ,roses 
persönliches ,personal 
queen ,queen 
fortschritte ,progress 
eingang ,entrance 
zugehört ,listened 
biete ,offer 
clara ,Clara 
vorhaben ,plan 
kultur ,culture 
patientin ,patient 
stephen ,stephen 
explodiert ,explodes 
nichte ,niece 
verzichten ,waive 
steven ,Steven 
harris ,harris 
existenz ,existence 
drehbuch ,script 
football ,football 
anzusehen ,to view 
ohnmächtig ,fainted 
zaun ,fence 
anthony ,Anthony 
geladen ,loaded 
guckt ,looks 
privat ,private 
peg ,peg 
brauchten ,needed 
liam ,Liam 
heb ,Heb 
virginia ,Virginia 
wächter ,guard 
eimer ,bucket 
blasen ,blow 
rakete ,rocket 
salz ,salt 
unfair ,unfair 
verzeiht ,forgive 
esel ,donkey 
krankenschwester ,nurse 
symbol ,symbol 
entscheidet ,decides 
fahrzeug ,vehicle 
unterwäsche ,underwear 
betrachtet ,considered 
bauern ,farmers 
engländer ,English 
wartete ,waited 
schaust ,look 
genossen ,enjoyed 
tropfen ,drops 
probiert ,tried 
spock ,spock 
café ,cafe 
verhungern ,starvation 
versuchten ,tried 
mütter ,mothers 
september ,September 
aktion ,action 
bestanden ,passed 
haaren ,hair 
louise ,Louise 
schluchzt ,sobs 
übertrieben ,exaggerated 
heilmittel ,remedies 
apparat ,apparatus 
vorm ,before 
friedlich ,peaceful 
richtiges ,correct 
zuschauer ,viewers 
teenager ,teenager 
geliefert ,delivered 
may ,may 
gestritten ,argued 
maus ,mouse 
lediglich ,only  
charakter ,character 
riley ,riley 
krass ,cool 
weiterer ,further 
group ,group 
ricky ,ricky 
diana ,Diana 
geräusche ,noises 
lichter ,lights 
starken ,strengthen 
dexter ,dexter 
staffel ,squadron 
flaschen ,bottles 
putzen ,cleaning 
einbruch ,burglary 
geheilt ,healed 
beißen ,bite 
nicole ,Nicole 
stammen ,come from 
wände ,walls 
befürchte ,fear 
kostüm ,costume 
warren ,warren 
grüßen ,greet 
versagen ,fail 
übernommen ,taken over 
hoffte ,hoped 
verschieben ,move 
verspätung ,lateness 
whiskey ,whiskey 
mars ,Mars 
media ,media 
entdecken ,discover 
traue ,trust 
thron ,throne 
riesigen ,huge 
zelt ,tent 
akzent ,accent 
truppe ,troop 
übertragen ,transmitted 
kompliment ,compliment 
flammen ,flame 
erkennst ,recognize 
erschrecken ,scare 
gemälde ,painting 
ari ,ari 
walt ,walt 
chip ,chip 
mannschaft ,team 
cindy ,Cindy 
loyalität ,loyalty 
benjamin ,Benjamin 
dankeschön ,Thank you very much 
vertreten ,represent 
verhandlung ,negotiation 
lernst ,learn 
brüllt ,roars 
füllen ,fill 
letztendlich ,ultimately 
